market_side,timestamp_utc,price_yes_cents,price_no_cents,volume,taker_side,trade_id
SAM,2026-08-31T09:14:43.458568Z,13.0,87.0,1.0,yes,07210b7c-b299-adb0-cb5f-8978263fbbc1
SAM,2026-08-31T09:16:29.03979Z,13.0,87.0,1.0,yes,07210b76-b041-9c48-f718-c5f9fc35c2dd
SAM,2026-08-31T09:17:24.261497Z,13.0,87.0,1.0,yes,07210b74-5c19-9a32-6bb7-55232fc52a5e
SAM,2026-08-31T09:17:24.992044Z,13.0,87.0,1.0,yes,07210b74-5c19-960a-d546-7c7f71b380d6
SAM,2026-08-31T09:18:53.18098Z,13.0,87.0,1.0,yes,07210b68-2091-b523-26e8-04056c8d12f4
SAM,2026-08-31T09:18:53.775792Z,13.0,87.0,1.0,yes,07210b68-2091-95c7-36fe-e157ac6a73c4
SAM,2026-08-31T09:20:15.449383Z,13.0,87.0,1.0,yes,07210b64-bef9-a890-859c-f14dece5546f
SAM,2026-08-31T09:25:04.938245Z,13.0,87.0,1.0,yes,07210ba9-2381-a73a-2ea7-73db44d15a53
SAM,2026-08-31T09:26:51.287279Z,13.0,87.0,1.0,yes,07210bb6-3579-80d6-c76a-a9492a0488de
SAM,2026-08-31T09:26:52.190934Z,13.0,87.0,1.0,yes,07210bb6-0519-9496-659d-940333929aca
SAM,2026-08-31T09:28:12.826473Z,13.0,87.0,1.0,yes,07210bb2-9c61-b0fd-040a-4f4034983e31
SAM,2026-08-31T09:29:56.299404Z,13.0,87.0,1.0,yes,07210bba-fe19-9210-1fa0-8991ba00b96d
SAM,2026-08-31T09:29:56.9421Z,13.0,87.0,1.0,yes,07210bba-fe19-88a8-6a01-13d55cd10d35
SAM,2026-08-31T09:30:56.402404Z,13.0,87.0,1.0,yes,07210b89-4be9-b124-05ee-7734cf1857c5
SAM,2026-08-31T09:32:14.152774Z,13.0,87.0,1.0,yes,07210b8f-9589-b231-d8ad-0d8ba55020d4
SAM,2026-08-31T09:33:01.335487Z,13.0,87.0,1.0,yes,07210b82-c231-9160-1fa5-84b142479d4c
SAM,2026-08-31T09:36:03.24526Z,13.0,87.0,1.0,yes,07210b98-fed1-88ae-f329-191437a9af86
SAM,2026-08-31T09:37:31.074106Z,13.0,87.0,1.0,yes,07210b97-3a71-934e-ce24-2715ab7f2724
SAM,2026-08-31T09:41:18.674546Z,13.0,87.0,1.0,yes,07210bf6-9af1-a13f-e11b-d4708dcd6aa3
SAM,2026-08-31T09:42:45.986305Z,13.0,87.0,1.0,yes,07210bff-be29-8ea8-bb14-ed623fa986ff
SAM,2026-08-31T09:44:27.341279Z,13.0,87.0,1.0,yes,07210be6-ac29-9d33-cd9a-3ec38201c936
SAM,2026-08-31T09:50:52.963514Z,13.0,87.0,1.0,yes,07210bd0-d929-8d69-3e58-e4866a090532
SAM,2026-08-31T09:50:53.583153Z,13.0,87.0,1.0,yes,07210bd0-e989-bc39-4e8e-5541cbc95132
SAM,2026-08-31T09:51:37.027673Z,13.0,87.0,1.0,yes,07210bd6-2429-b57c-6fd8-73997ed3e13f
SAM,2026-08-31T10:00:10.321158Z,13.0,87.0,1.0,yes,07210a4f-7469-b896-6ccc-ce8a41161909
SAM,2026-08-31T10:02:06.006859Z,13.0,87.0,1.0,yes,07210a50-60e9-a9b2-9f90-6c8126984dd1
SAM,2026-08-31T11:56:11.119564Z,14.0,86.0,7.0,yes,07210918-1589-9c4e-e1c4-e7f001d41cf4
SAM,2026-08-31T11:56:11.119564Z,15.0,85.0,37.5,yes,0721081c-3f21-90bb-c6a8-8d32baa3f615
SAM,2026-08-31T12:58:53.367899Z,15.0,85.0,34.5,yes,07210933-d9e1-a02f-8523-20f1d263e5b5
SAM,2026-08-31T12:58:53.367899Z,17.0,83.0,74.34,yes,07210848-2b69-a916-a5ab-f0ffe3a9a414
SAM,2026-08-31T13:22:56.385539Z,18.0,82.0,5.25,yes,07210804-8039-9e00-0f3e-eae7a1cd0f26
SAM,2026-08-31T13:28:49.908711Z,18.0,82.0,5.25,yes,07213809-1f71-b1cf-6fb0-32f90d96ca68
SAM,2026-08-31T13:59:39.724892Z,18.0,82.0,11.0,yes,07213867-6511-8a4a-d544-66bf282c1182
SAM,2026-08-31T13:59:39.724892Z,19.0,81.0,39.34,yes,0721378e-f4f9-89aa-f92f-fc4e9a2a00c7
SAM,2026-08-31T14:06:58.056435Z,18.0,82.0,5.0,yes,072138b0-5821-a9f6-3e92-113770433ec2
SAM,2026-08-31T14:06:58.056435Z,18.0,82.0,0.25,yes,072138b0-2959-aeff-01bd-3ed182771277
SAM,2026-08-31T15:26:58.113486Z,18.0,82.0,15.0,yes,072139df-c071-927c-0773-0cb46681235d
