market_side,timestamp_utc,open_cents,close_cents,high_cents,low_cents,yes_bid_close_cents,yes_ask_close_cents,volume,open_interest
SAM,2026-08-24T08:00:00+00:00,,,,,10.0,30.0,0.0,0.0
SAM,2026-08-24T09:00:00+00:00,,,,,7.0,30.0,0.0,0.0
SAM,2026-08-24T11:00:00+00:00,,,,,8.0,29.0,0.0,0.0
SAM,2026-08-24T12:00:00+00:00,,,,,10.0,30.0,0.0,0.0
SAM,2026-08-24T13:00:00+00:00,,,,,9.0,28.0,0.0,0.0
SAM,2026-08-24T14:00:00+00:00,,,,,10.0,30.0,0.0,0.0
SAM,2026-08-24T15:00:00+00:00,,,,,7.0,30.0,0.0,0.0
SAM,2026-08-24T16:00:00+00:00,,,,,9.0,28.0,0.0,0.0
SAM,2026-08-24T17:00:00+00:00,,,,,8.0,29.0,0.0,0.0
SAM,2026-08-24T18:00:00+00:00,,,,,7.0,30.0,0.0,0.0
SAM,2026-08-24T19:00:00+00:00,,,,,8.0,30.0,0.0,0.0
SAM,2026-08-24T20:00:00+00:00,,,,,8.0,30.0,0.0,0.0
SAM,2026-08-25T02:00:00+00:00,8.0,8.0,8.0,8.0,8.0,30.0,3.0,3.0
SAM,2026-08-25T06:00:00+00:00,,,,,8.0,30.0,0.0,3.0
SAM,2026-08-25T09:00:00+00:00,,,,,9.0,29.0,0.0,3.0
SAM,2026-08-25T10:00:00+00:00,,,,,10.0,29.0,0.0,3.0
SAM,2026-08-25T11:00:00+00:00,,,,,9.0,30.0,0.0,3.0
SAM,2026-08-25T13:00:00+00:00,,,,,10.0,29.0,0.0,3.0
SAM,2026-08-25T14:00:00+00:00,,,,,11.0,29.0,0.0,3.0
SAM,2026-08-25T15:00:00+00:00,29.0,29.0,29.0,29.0,12.0,29.0,3.28,6.28
SAM,2026-08-25T16:00:00+00:00,,,,,10.0,29.0,0.0,6.28
SAM,2026-08-25T17:00:00+00:00,,,,,10.0,30.0,0.0,6.28
SAM,2026-08-25T18:00:00+00:00,,,,,8.0,30.0,0.0,6.28
SAM,2026-08-25T23:00:00+00:00,,,,,8.0,30.0,0.0,6.28
SAM,2026-08-26T06:00:00+00:00,,,,,8.0,30.0,0.0,6.28
SAM,2026-08-26T07:00:00+00:00,,,,,9.0,30.0,0.0,6.28
SAM,2026-08-26T18:00:00+00:00,,,,,7.0,30.0,0.0,6.28
SAM,2026-08-26T20:00:00+00:00,,,,,7.0,28.0,0.0,6.28
SAM,2026-08-26T21:00:00+00:00,,,,,7.0,26.0,0.0,6.28
SAM,2026-08-26T22:00:00+00:00,,,,,7.0,26.0,0.0,6.28
SAM,2026-08-26T23:00:00+00:00,,,,,7.0,24.0,0.0,6.28
SAM,2026-08-27T00:00:00+00:00,,,,,7.0,24.0,0.0,6.28
SAM,2026-08-27T03:00:00+00:00,,,,,7.0,22.0,0.0,6.28
SAM,2026-08-27T04:00:00+00:00,,,,,7.0,22.0,0.0,6.28
SAM,2026-08-27T05:00:00+00:00,,,,,7.0,20.0,0.0,6.28
SAM,2026-08-27T06:00:00+00:00,,,,,7.0,20.0,0.0,6.28
SAM,2026-08-27T07:00:00+00:00,,,,,7.0,30.0,0.0,6.28
SAM,2026-08-27T10:00:00+00:00,,,,,7.0,19.0,0.0,6.28
SAM,2026-08-27T11:00:00+00:00,,,,,7.0,19.0,0.0,6.28
SAM,2026-08-27T12:00:00+00:00,,,,,7.0,19.0,0.0,6.28
SAM,2026-08-27T13:00:00+00:00,,,,,7.0,19.0,0.0,6.28
SAM,2026-08-27T14:00:00+00:00,,,,,7.0,19.0,0.0,6.28
SAM,2026-08-27T15:00:00+00:00,,,,,7.0,19.0,0.0,6.28
SAM,2026-08-27T16:00:00+00:00,,,,,7.0,19.0,0.0,6.28
SAM,2026-08-27T17:00:00+00:00,,,,,7.0,19.0,0.0,6.28
SAM,2026-08-27T18:00:00+00:00,,,,,7.0,19.0,0.0,6.28
SAM,2026-08-27T19:00:00+00:00,,,,,7.0,30.0,0.0,6.28
SAM,2026-08-27T20:00:00+00:00,,,,,7.0,26.0,0.0,6.28
SAM,2026-08-27T21:00:00+00:00,25.0,25.0,25.0,25.0,8.0,24.0,3.0,6.28
SAM,2026-08-27T22:00:00+00:00,,,,,7.0,25.0,0.0,6.28
SAM,2026-08-27T23:00:00+00:00,,,,,7.0,24.0,0.0,6.28
SAM,2026-08-28T00:00:00+00:00,,,,,7.0,25.0,0.0,6.28
SAM,2026-08-28T01:00:00+00:00,,,,,8.0,23.0,0.0,6.28
